                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5317,                 2.8172,                 2.0371,                0.51923,                 0.0274,                0.01508,                0.00483,                 2.8325,                 2.9692,                 2.2209,             0.00051777,             0.00051777,             0.00051777
                     35,                 2.5128,                 2.8129,                 2.0333,                0.51746,                0.02598,                0.01519,                0.00491,                 2.8266,                 2.9176,                 2.2166,             0.00051015,             0.00051015,             0.00051015
                     36,                 2.5151,                  2.818,                 2.0394,                0.52983,                 0.0346,                0.01822,                0.00581,                  2.776,                 2.9108,                  2.223,             0.00050254,             0.00050254,             0.00050254
                     37,                 2.5117,                 2.7897,                 2.0277,                0.39283,                0.04256,                0.01462,                 0.0047,                 2.8204,                 2.9866,                 2.2289,             0.00049493,             0.00049493,             0.00049493
                     38,                 2.5055,                 2.7971,                 2.0276,                0.52744,                0.02862,                0.01639,                0.00551,                  2.787,                 2.9136,                 2.2149,             0.00048732,             0.00048732,             0.00048732
                     39,                 2.5071,                 2.7935,                 2.0215,                0.52488,                0.03554,                0.01719,                0.00554,                  2.781,                 2.9154,                 2.2081,              0.0004797,              0.0004797,              0.0004797
                     40,                  2.492,                 2.7981,                 2.0207,                0.52484,                0.02661,                0.01745,                 0.0054,                 2.7828,                 2.9134,                 2.2202,             0.00047209,             0.00047209,             0.00047209
                     41,                 2.4975,                   2.79,                 2.0219,                0.52311,                0.03091,                0.01649,                0.00558,                 2.7809,                 2.9157,                 2.2204,             0.00046448,             0.00046448,             0.00046448
                     42,                 2.4675,                 2.7624,                  2.012,                0.52405,                0.02813,                0.01563,                0.00511,                 2.7885,                 2.9613,                 2.2117,             0.00045686,             0.00045686,             0.00045686
                     43,                 2.4758,                 2.7669,                 2.0086,                0.53099,                0.03292,                0.01801,                0.00577,                 2.7925,                 2.9404,                 2.2533,             0.00044925,             0.00044925,             0.00044925
                     44,                  2.472,                 2.7766,                 2.0138,                0.52979,                0.03085,                 0.0183,                0.00603,                 2.7741,                 2.9031,                 2.1956,             0.00044164,             0.00044164,             0.00044164
