                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93972,                0.88328,                   1.07,                 0.6537,                0.52059,                0.52717,                0.32006,                 1.1619,                 1.2351,                 1.2086,             0.00048074,             0.00048074,             0.00048074
                     35,                0.91615,                0.86916,                 1.0592,                0.71389,                0.52959,                0.57763,                0.34974,                 1.2016,                 1.1356,                 1.2116,             0.00047367,             0.00047367,             0.00047367
                     36,                0.90544,                0.84814,                 1.0572,                0.60365,                0.54752,                0.52649,                0.31614,                 1.2057,                  1.173,                 1.2256,              0.0004666,              0.0004666,              0.0004666
                     37,                0.91365,                 0.8406,                 1.0605,                0.76288,                0.46247,                0.54174,                 0.3353,                 1.1339,                 1.1268,                 1.1848,             0.00045953,             0.00045953,             0.00045953
                     38,                0.89133,                0.82638,                 1.0503,                0.55936,                0.51173,                0.54518,                0.34201,                 1.1059,                 1.1376,                 1.1748,             0.00045246,             0.00045246,             0.00045246
                     39,                0.88958,                0.83456,                 1.0483,                 0.7369,                0.49929,                0.55158,                0.34121,                 1.0927,                 1.1511,                 1.1696,             0.00044539,             0.00044539,             0.00044539
                     40,                0.91517,                0.84166,                 1.0571,                0.64934,                0.55642,                0.55063,                0.34584,                 1.1096,                 1.1733,                 1.1822,             0.00043832,             0.00043832,             0.00043832
                     41,                0.87824,                0.80572,                 1.0354,                0.59111,                0.50954,                0.56062,                 0.3428,                 1.1404,                   1.14,                 1.1824,             0.00043126,             0.00043126,             0.00043126
                     42,                0.91176,                0.81537,                 1.0465,                0.63038,                0.46395,                0.54427,                0.33798,                 1.1079,                 1.0921,                 1.1783,             0.00042419,             0.00042419,             0.00042419
                     43,                0.89957,                0.78557,                 1.0421,                0.55951,                0.50266,                0.56582,                0.34633,                 1.1091,                 1.0735,                 1.1828,             0.00041712,             0.00041712,             0.00041712
                     44,                0.87085,                0.79588,                 1.0486,                 0.5949,                0.52862,                  0.565,                0.35683,                 1.1343,                 1.1186,                 1.2059,             0.00041005,             0.00041005,             0.00041005
                     45,                0.86391,                0.77101,                 1.0294,                0.63499,                0.51996,                0.56647,                0.35767,                 1.1293,                 1.1171,                 1.1874,             0.00040298,             0.00040298,             0.00040298
                     46,                0.86501,                0.75825,                 1.0274,                0.62154,                0.50588,                0.56767,                0.35577,                 1.1126,                 1.1201,                 1.1679,             0.00039591,             0.00039591,             0.00039591
                     47,                0.85146,                0.77202,                  1.031,                0.69085,                0.52701,                0.55632,                0.34493,                 1.1094,                 1.1172,                 1.1729,             0.00038884,             0.00038884,             0.00038884
                     48,                0.89039,                0.79475,                 1.0477,                0.70176,                 0.5127,                0.55775,                0.35616,                 1.0823,                 1.0889,                 1.1524,             0.00038178,             0.00038178,             0.00038178
                     49,                0.86035,                0.76854,                  1.034,                0.61392,                0.48727,                0.55452,                0.35416,                 1.1182,                 1.1142,                  1.186,             0.00037471,             0.00037471,             0.00037471
                     50,                0.85996,                0.74115,                 1.0102,                0.79338,                0.49007,                0.57323,                0.35764,                 1.0821,                 1.0775,                 1.1683,             0.00036764,             0.00036764,             0.00036764
                     51,                0.85878,                0.73725,                 1.0309,                0.63157,                0.49644,                0.56732,                0.35876,                 1.0771,                  1.093,                  1.159,             0.00036057,             0.00036057,             0.00036057
                     52,                0.84716,                0.74018,                 1.0218,                 0.5913,                0.53184,                0.57492,                0.35401,                 1.1102,                 1.0888,                 1.1765,              0.0003535,              0.0003535,              0.0003535
                     53,                0.83955,                0.73531,                 1.0227,                0.65564,                0.47188,                0.55422,                0.34039,                 1.1432,                 1.0914,                 1.1931,             0.00034643,             0.00034643,             0.00034643
                     54,                0.83926,                0.73062,                 1.0211,                0.65603,                0.46609,                0.56055,                0.34777,                 1.1287,                 1.1453,                 1.1937,             0.00033936,             0.00033936,             0.00033936
                     55,                0.83935,                0.73475,                  1.005,                0.60302,                0.52077,                0.57077,                0.36169,                 1.1122,                 1.1417,                 1.1939,              0.0003323,              0.0003323,              0.0003323
                     56,                0.84621,                0.72912,                 1.0256,                0.66274,                0.52291,                0.58441,                0.36725,                 1.0985,                 1.0782,                 1.1807,             0.00032523,             0.00032523,             0.00032523
                     57,                 0.8288,                0.69641,                 1.0131,                0.65908,                0.52065,                0.56949,                0.35712,                 1.1014,                 1.0907,                 1.1761,             0.00031816,             0.00031816,             0.00031816
                     58,                0.83178,                0.70441,                  1.016,                0.55726,                0.52929,                0.55865,                0.34967,                 1.0958,                 1.0775,                 1.1861,             0.00031109,             0.00031109,             0.00031109
                     59,                 0.8176,                0.69207,                 1.0128,                0.78916,                0.47759,                0.57299,                0.36223,                 1.0785,                 1.0498,                 1.1512,             0.00030402,             0.00030402,             0.00030402
                     60,                0.83592,                0.70882,                 1.0154,                0.55327,                0.56429,                0.56193,                0.35319,                  1.079,                  1.071,                 1.1649,             0.00029695,             0.00029695,             0.00029695
                     61,                0.81597,                0.69579,                 1.0225,                0.76382,                0.49541,                0.55051,                0.34375,                 1.0987,                 1.1242,                 1.1676,             0.00028988,             0.00028988,             0.00028988
                     62,                0.81568,                0.68185,                 1.0051,                0.59095,                0.53055,                0.56009,                0.35086,                 1.0953,                 1.1084,                 1.1679,             0.00028282,             0.00028282,             0.00028282
                     63,                0.80079,                0.69455,                 1.0077,                0.68658,                0.55942,                0.55978,                0.35702,                 1.1046,                 1.1069,                 1.1878,             0.00027575,             0.00027575,             0.00027575
                     64,                0.81536,                0.67899,                0.99994,                0.62057,                0.50032,                0.57093,                0.36674,                 1.0793,                 1.0879,                 1.1688,             0.00026868,             0.00026868,             0.00026868
                     65,                0.81457,                0.67837,                 1.0027,                  0.627,                0.54045,                0.58974,                0.37156,                 1.0973,                  1.061,                 1.1811,             0.00026161,             0.00026161,             0.00026161
                     66,                0.80473,                0.67974,                0.99374,                0.74891,                0.53708,                0.58964,                 0.3736,                 1.0777,                 1.0813,                 1.1516,             0.00025454,             0.00025454,             0.00025454
                     67,                 0.8093,                0.67187,                0.99795,                0.58263,                0.54186,                0.57608,                 0.3668,                  1.059,                 1.0968,                 1.1341,             0.00024747,             0.00024747,             0.00024747
                     68,                0.79395,                0.66152,                0.99706,                0.60631,                0.54083,                0.56112,                0.36089,                 1.0805,                 1.0937,                 1.1551,              0.0002404,              0.0002404,              0.0002404
                     69,                0.76714,                0.63996,                0.98603,                 0.7246,                0.50826,                 0.5547,                0.34686,                 1.0997,                 1.1436,                  1.152,             0.00023334,             0.00023334,             0.00023334
                     70,                0.77917,                0.63942,                0.99282,                 0.5904,                0.53154,                0.57526,                 0.3596,                 1.0959,                 1.0899,                 1.1671,             0.00022627,             0.00022627,             0.00022627
                     71,                0.78756,                0.65166,                 1.0018,                0.58683,                0.54156,                0.58286,                0.35651,                 1.1081,                 1.0343,                 1.1699,              0.0002192,              0.0002192,              0.0002192
                     72,                0.80245,                0.65643,                0.98853,                0.62856,                0.53396,                0.58602,                0.37009,                 1.0749,                 1.0433,                 1.1507,             0.00021213,             0.00021213,             0.00021213
                     73,                0.79604,                0.64101,                0.98441,                0.55492,                0.54781,                 0.5789,                0.37333,                 1.0608,                 1.0645,                 1.1467,             0.00020506,             0.00020506,             0.00020506
                     74,                0.77362,                0.63342,                0.98355,                 0.7541,                 0.5002,                0.57531,                0.36746,                 1.0883,                 1.0697,                 1.1598,             0.00019799,             0.00019799,             0.00019799
                     75,                0.78434,                0.64154,                 0.9887,                0.74076,                0.51187,                0.57519,                0.36738,                 1.0899,                 1.0725,                 1.1652,             0.00019092,             0.00019092,             0.00019092
                     76,                0.77083,                0.62821,                0.99101,                 0.7705,                0.49866,                0.57619,                0.36884,                 1.0869,                 1.0824,                 1.1589,             0.00018385,             0.00018385,             0.00018385
                     77,                0.74127,                0.61074,                0.97267,                0.60599,                0.51682,                0.56513,                0.35342,                 1.0961,                 1.0762,                 1.1548,             0.00017679,             0.00017679,             0.00017679
                     78,                0.74006,                0.60476,                0.97235,                0.58315,                 0.5086,                0.55879,                0.35403,                 1.0806,                 1.1075,                 1.1519,             0.00016972,             0.00016972,             0.00016972
                     79,                0.76446,                0.61513,                0.98743,                 0.6314,                0.48916,                0.56718,                0.35315,                 1.0773,                 1.1068,                  1.151,             0.00016265,             0.00016265,             0.00016265
                     80,                0.75571,                0.60566,                0.98118,                0.66189,                 0.4928,                0.57806,                0.36262,                 1.0656,                 1.0592,                 1.1409,             0.00015558,             0.00015558,             0.00015558
                     81,                0.76307,                0.62126,                0.98116,                0.66914,                0.50573,                0.57333,                0.36622,                 1.0504,                 1.0662,                 1.1342,             0.00014851,             0.00014851,             0.00014851
                     82,                0.76769,                0.61117,                0.97244,                0.64377,                0.50184,                0.57992,                 0.3671,                 1.0831,                 1.0776,                 1.1544,             0.00014144,             0.00014144,             0.00014144
                     83,                 0.7303,                0.60643,                0.97333,                0.60429,                0.53192,                 0.5764,                0.36575,                 1.0664,                 1.0469,                 1.1478,             0.00013437,             0.00013437,             0.00013437
                     84,                0.73217,                0.59895,                 0.9642,                0.59463,                0.52354,                  0.571,                0.36011,                 1.0766,                 1.0771,                 1.1457,             0.00012731,             0.00012731,             0.00012731
                     85,                0.74008,                0.58769,                 0.9704,                0.61421,                0.51366,                0.56963,                0.36357,                 1.0779,                 1.0841,                 1.1566,             0.00012024,             0.00012024,             0.00012024
                     86,                0.75181,                 0.6084,                0.97451,                0.60965,                0.51578,                0.56902,                0.36189,                 1.0614,                 1.0808,                 1.1495,             0.00011317,             0.00011317,             0.00011317
                     87,                0.74906,                0.59107,                0.97555,                0.62178,                0.51547,                0.57683,                0.36609,                 1.0638,                 1.0711,                 1.1444,              0.0001061,              0.0001061,              0.0001061
                     88,                0.74577,                0.60284,                0.98099,                0.64366,                0.49699,                0.57384,                0.37138,                 1.0363,                 1.0603,                 1.1361,             9.9032e-05,             9.9032e-05,             9.9032e-05
